Property_ID,City,Area_Locality,Property_Type,BHK,Size_sqft,Bathroom_Count,Furnishing_Status,Floor_Number,Total_Floors,Parking_Available,Distance_to_Metro_km,Property_Age_Years,Monthly_Rent
P00125,Hyderabad,Kukatpally,Apartment,5,797.0,3.0,Unfurnished,12,23,No,8.17,16,23808
P00126,Pune,Kharadi,Villa,3,524.0,3.0,Semi-Furnished,5,12,No,9.49,15,16331
P00127,Chennai,T Nagar,Apartment,1,1661.0,1.0,Unfurnished,17,18,No,8.79,19,32681
P00128,Delhi,Karol Bagh,Apartment,2,1190.0,3.0,Unfurnished,5,20,Yes,4.23,7,37608
P00129,Delhi,Saket,Villa,4,1408.0,5.0,Furnished,9,25,Yes,3.8,18,52075
P00130,Mumbai,Powai,Independent House,5,2610.0,4.0,Furnished,6,11,No,0.71,15,90898
P00131,Delhi,Dwarka,Villa,5,,3.0,Furnished,5,14,No,9.07,4,39787
P00132,Bangalore,Electronic City,Independent House,3,559.0,4.0,Furnished,12,21,No,2.51,2,33377
P00133,Chennai,Velachery,Independent House,1,1823.0,1.0,Furnished,1,11,No,7.02,4,50802
P00134,Mumbai,Borivali,Villa,1,774.0,1.0,Semi-Furnished,6,11,No,1.29,9,37215
P00135,Hyderabad,Hitech City,Apartment,2,2169.0,3.0,Unfurnished,14,16,Yes,8.4,15,54246
P00136,Delhi,Dwarka,Villa,5,2805.0,2.0,Unfurnished,4,14,No,0.22,11,76357
P00137,Delhi,Karol Bagh,Apartment,1,2594.0,2.0,Furnished,16,25,Yes,4.03,15,67204
P00138,Pune,Kharadi,Independent House,3,516.0,3.0,Furnished,11,15,Yes,7.76,10,22200
P00139,Bangalore,Marathahalli,Villa,3,1167.0,4.0,Unfurnished,15,18,Yes,0.82,14,38423
P00140,Hyderabad,Gachibowli,Apartment,2,621.0,2.0,Semi-Furnished,16,23,No,2.68,20,20285
P00141,Hyderabad,Madhapur,Apartment,3,1569.0,1.0,Semi-Furnished,13,20,No,8.97,12,40604
P00142,Chennai,Anna Nagar,Villa,4,1954.0,5.0,Semi-Furnished,2,16,Yes,4.42,5,61383
P00143,Hyderabad,Madhapur,Apartment,1,1793.0,2.0,Semi-Furnished,14,24,No,1.83,14,47215
P00144,Mumbai,Andheri,Villa,3,2968.0,4.0,Semi-Furnished,20,21,Yes,6.78,12,90205
P00145,Delhi,Rohini,Apartment,2,2938.0,3.0,Semi-Furnished,1,6,Yes,2.51,20,77204
P00146,Hyderabad,Kukatpally,Villa,1,2928.0,1.0,Unfurnished,14,20,No,4.55,2,70499
P00147,Chennai,OMR,Independent House,3,1591.0,2.0,,0,24,Yes,5.09,12,50334
P00148,Bangalore,Marathahalli,Independent House,4,1328.0,5.0,Semi-Furnished,15,19,Yes,1.53,2,52764
P00149,Chennai,Anna Nagar,Apartment,3,1873.0,1.0,Unfurnished,17,22,No,8.54,20,41281
P00150,Hyderabad,Gachibowli,Apartment,2,1018.0,1.0,Semi-Furnished,0,12,No,4.78,17,26792
P00151,Delhi,Dwarka,Apartment,3,2080.0,4.0,Unfurnished,13,20,Yes,1.43,10,62792
P00152,Bangalore,Indiranagar,Independent House,5,1861.0,2.0,Unfurnished,20,25,Yes,7.72,4,56048
P00153,Delhi,Dwarka,Apartment,5,1076.0,3.0,Furnished,5,16,Yes,3.59,16,43984
P00154,Bangalore,Marathahalli,Apartment,5,1574.0,2.0,Unfurnished,9,12,Yes,6.0,18,46051
P00155,Chennai,OMR,Villa,1,566.0,1.0,Furnished,20,25,No,6.58,18,18547
P00156,Delhi,Dwarka,Independent House,5,1636.0,6.0,Semi-Furnished,15,19,No,3.11,2,60651
P00157,Bangalore,Electronic City,Independent House,4,2433.0,4.0,Furnished,10,20,Yes,3.26,10,75736
P00158,Mumbai,Bandra,Independent House,5,2750.0,1.0,Semi-Furnished,7,22,Yes,2.82,7,87961
P00159,Bangalore,Whitefield,Independent House,4,2970.0,4.0,Furnished,5,16,No,2.06,5,88982
P00160,Delhi,Karol Bagh,Independent House,3,2487.0,1.0,Furnished,12,21,No,9.67,6,68426
P00161,Hyderabad,Hitech City,Apartment,3,2477.0,4.0,Semi-Furnished,17,18,Yes,4.42,8,71640
P00162,Hyderabad,Kukatpally,Independent House,1,,1.0,Unfurnished,17,21,No,5.62,2,49831
P00163,Delhi,Karol Bagh,Villa,3,2952.0,1.0,Furnished,3,16,No,7.99,10,78819
P00164,Hyderabad,Gachibowli,Apartment,5,2535.0,4.0,Unfurnished,1,3,Yes,1.54,10,72949
P00165,Delhi,Karol Bagh,Apartment,5,2561.0,2.0,Semi-Furnished,19,22,Yes,4.05,19,72040
P00166,Delhi,Saket,Villa,5,2630.0,4.0,Unfurnished,18,21,No,8.19,11,69869
P00167,Pune,Hinjewadi,Independent House,5,1710.0,6.0,Unfurnished,20,21,No,2.8,20,52338
P00168,Delhi,Rohini,Villa,1,2840.0,2.0,Furnished,16,23,Yes,8.25,7,71215
P00169,Delhi,Dwarka,Apartment,1,2256.0,2.0,Semi-Furnished,4,18,Yes,4.22,19,59432
P00170,Pune,Hinjewadi,Villa,2,2574.0,1.0,Unfurnished,10,21,No,5.35,10,58268
P00171,Mumbai,Powai,Villa,3,1532.0,4.0,Furnished,7,16,No,2.4,9,62891
P00172,Pune,Wakad,Villa,4,1748.0,4.0,Semi-Furnished,17,22,No,1.39,17,52402
P00173,Mumbai,Powai,Apartment,3,622.0,3.0,Unfurnished,2,14,No,6.63,15,31526
P00174,Chennai,OMR,Villa,3,1012.0,1.0,Unfurnished,18,20,Yes,0.7,16,30077
P00175,Pune,Wakad,Apartment,1,2142.0,2.0,Unfurnished,15,17,Yes,0.25,17,51294
P00176,Mumbai,Borivali,Independent House,2,1626.0,2.0,Semi-Furnished,20,21,Yes,6.59,7,59511
P00177,Pune,Hinjewadi,Apartment,4,1170.0,1.0,Semi-Furnished,15,18,No,8.79,0,34570
P00178,Delhi,Dwarka,Independent House,3,2311.0,4.0,Furnished,16,24,No,2.09,3,70651
P00179,Chennai,Anna Nagar,Villa,3,1212.0,1.0,Unfurnished,10,23,No,5.76,6,31077
P00180,Delhi,Karol Bagh,Independent House,5,1793.0,1.0,Semi-Furnished,3,9,Yes,4.88,7,53469
P00181,Hyderabad,Kukatpally,Apartment,4,1543.0,3.0,Semi-Furnished,18,24,Yes,2.76,11,52247
P00182,Chennai,Velachery,Villa,1,2356.0,2.0,Furnished,12,23,No,6.96,20,57224
P00183,Hyderabad,Gachibowli,Apartment,2,2408.0,1.0,Semi-Furnished,19,22,No,7.08,15,59577
P00184,Pune,Wakad,Apartment,5,785.0,5.0,Semi-Furnished,16,22,Yes,9.19,3,30261
P00185,Delhi,Rohini,Villa,5,1063.0,2.0,Semi-Furnished,16,24,Yes,6.87,18,38984
P00186,Bangalore,Indiranagar,Apartment,4,990.0,5.0,Semi-Furnished,14,24,Yes,5.68,9,43593
P00187,Bangalore,Indiranagar,Independent House,1,1342.0,1.0,Furnished,13,19,Yes,5.5,1,41534
P00188,Mumbai,Andheri,Independent House,4,1187.0,2.0,Unfurnished,20,24,No,9.93,12,45173
P00189,Mumbai,Borivali,Apartment,5,994.0,6.0,Semi-Furnished,3,9,No,5.38,7,49539
P00190,Bangalore,Marathahalli,Independent House,5,,5.0,Semi-Furnished,7,15,No,3.59,8,67384
P00191,Pune,Hinjewadi,Apartment,4,2968.0,1.0,Furnished,6,9,Yes,6.02,14,80360
P00192,Pune,Hinjewadi,Apartment,1,2097.0,2.0,Furnished,17,21,Yes,1.57,9,57511
P00193,Pune,Baner,Villa,5,1763.0,2.0,Semi-Furnished,4,21,Yes,4.25,8,51382
P00194,Delhi,Rohini,Villa,4,2726.0,4.0,Furnished,11,22,No,7.9,10,79541
P00195,Mumbai,Borivali,Apartment,3,1991.0,2.0,Unfurnished,15,19,Yes,3.15,4,68527
P00196,Bangalore,Indiranagar,Independent House,5,2620.0,2.0,Semi-Furnished,7,16,Yes,3.44,2,79028
P00197,Hyderabad,Hitech City,Villa,2,661.0,2.0,Semi-Furnished,19,24,Yes,8.76,6,24481
P00198,Pune,Wakad,Independent House,2,1813.0,2.0,,6,13,Yes,7.52,15,48185
P00199,Pune,Wakad,Independent House,2,2711.0,2.0,Semi-Furnished,12,20,No,3.22,11,69169
P00200,Mumbai,Borivali,Apartment,4,1761.0,2.0,Semi-Furnished,10,17,Yes,5.71,7,63465
P00201,Bangalore,Marathahalli,Villa,5,2822.0,,Semi-Furnished,9,14,Yes,3.43,12,86261
P00202,Chennai,Anna Nagar,Villa,3,1504.0,4.0,Unfurnished,20,24,No,1.85,11,41791
P00203,Chennai,Anna Nagar,Apartment,5,690.0,5.0,,2,24,Yes,7.69,13,31467
P00204,Pune,Wakad,Apartment,2,487.0,1.0,Unfurnished,14,20,Yes,6.25,19,14189
P00205,Pune,Kharadi,Apartment,1,2629.0,2.0,Furnished,0,17,No,5.45,9,63415
P00206,Delhi,Karol Bagh,Apartment,1,844.0,1.0,Furnished,6,23,No,8.19,8,27755
P00207,Bangalore,Marathahalli,Independent House,4,2764.0,,Unfurnished,7,17,Yes,6.61,20,68670
P00208,Bangalore,Indiranagar,Independent House,4,2713.0,4.0,Furnished,20,21,Yes,1.01,13,85272
P00209,Hyderabad,Hitech City,Villa,1,1391.0,1.0,Unfurnished,18,22,No,0.66,2,40119
P00210,Hyderabad,Hitech City,Apartment,3,514.0,2.0,Unfurnished,4,17,Yes,3.13,18,18702
P00211,Delhi,Karol Bagh,Villa,5,1808.0,4.0,Unfurnished,4,7,No,0.73,13,55462
P00212,Bangalore,Marathahalli,Villa,5,2889.0,4.0,Semi-Furnished,0,21,No,7.88,14,80535
P00213,Chennai,OMR,Villa,4,2218.0,2.0,Unfurnished,18,24,No,1.04,19,57619
P00214,Chennai,Velachery,Apartment,3,1081.0,4.0,Unfurnished,20,22,No,3.3,3,32346
P00215,Bangalore,Marathahalli,Independent House,3,1554.0,1.0,Furnished,2,8,No,4.6,17,49635
P00216,Mumbai,Andheri,Apartment,1,1899.0,1.0,Unfurnished,19,22,No,0.32,13,60106
P00217,Bangalore,Electronic City,Villa,5,1144.0,6.0,Semi-Furnished,5,10,No,3.15,15,44015
P00218,Bangalore,Electronic City,Independent House,3,2174.0,3.0,Semi-Furnished,2,14,No,9.45,20,58246
P00219,Delhi,Rohini,Independent House,1,1004.0,2.0,Furnished,12,18,No,8.08,10,32242
P00220,Hyderabad,Kukatpally,Villa,5,1007.0,3.0,Semi-Furnished,19,25,Yes,4.89,5,39537
P00221,Hyderabad,Madhapur,Villa,4,2808.0,2.0,Semi-Furnished,12,17,No,3.78,18,71715
P00222,Delhi,Rohini,Villa,5,560.0,6.0,Semi-Furnished,6,21,No,8.35,2,31283
P00223,Pune,Kharadi,Apartment,3,1441.0,3.0,Unfurnished,4,18,No,0.92,19,40709
P00224,Delhi,Karol Bagh,Villa,5,2163.0,5.0,Furnished,11,23,Yes,1.27,7,75887
P00225,Pune,Baner,Apartment,5,631.0,5.0,Unfurnished,20,24,No,9.66,13,20630
P00226,Bangalore,Whitefield,Independent House,2,2541.0,3.0,Unfurnished,17,21,No,3.87,14,67732
P00227,Delhi,Rohini,Independent House,1,2427.0,1.0,Semi-Furnished,13,15,Yes,8.35,4,61299
P00228,Hyderabad,Madhapur,Independent House,2,2584.0,2.0,Semi-Furnished,15,17,No,7.28,14,62608
P00229,Bangalore,Marathahalli,Apartment,1,542.0,2.0,Unfurnished,3,25,Yes,9.31,7,18939
P00230,Chennai,T Nagar,Independent House,5,2196.0,4.0,Furnished,12,23,Yes,2.03,13,69492
P00231,Bangalore,Electronic City,Independent House,5,2209.0,4.0,Furnished,6,13,No,7.57,2,71646
P00232,Bangalore,Electronic City,Independent House,3,1257.0,4.0,Furnished,8,24,No,6.05,19,43516
P00233,Delhi,Dwarka,Independent House,3,2325.0,2.0,Unfurnished,9,12,Yes,3.27,7,62965
P00234,Bangalore,Electronic City,Independent House,2,2542.0,2.0,Semi-Furnished,19,21,No,4.35,15,69002
P00235,Delhi,Rohini,Villa,2,2455.0,2.0,Furnished,5,16,No,6.27,11,63432
P00236,Mumbai,Bandra,Apartment,4,2750.0,5.0,Unfurnished,15,22,No,4.27,14,85907
P00237,Chennai,Velachery,Villa,1,1353.0,2.0,Furnished,8,16,No,1.85,14,41776
P00238,Pune,Kharadi,Villa,5,913.0,5.0,Furnished,8,20,Yes,7.65,14,39068
P00239,Chennai,Anna Nagar,Apartment,2,1669.0,1.0,Semi-Furnished,8,20,Yes,4.5,3,45694
P00240,Chennai,OMR,Villa,5,2203.0,2.0,Unfurnished,4,11,Yes,8.09,18,56640
P00241,Delhi,Saket,Villa,5,1139.0,3.0,Unfurnished,9,19,No,9.53,16,37247
P00242,Bangalore,Electronic City,Independent House,1,,1.0,Unfurnished,4,12,Yes,7.17,7,43688
P00243,Mumbai,Borivali,Apartment,5,1550.0,6.0,Semi-Furnished,12,20,Yes,6.41,2,66773
P00244,Delhi,Saket,Villa,3,2312.0,4.0,Semi-Furnished,18,19,Yes,7.36,14,66260
P00245,Pune,Baner,Apartment,5,2079.0,2.0,Semi-Furnished,6,22,No,3.36,9,59500
P00246,Delhi,Rohini,Villa,4,1857.0,1.0,Furnished,3,24,No,0.36,5,61435
P00247,Mumbai,Andheri,Independent House,2,990.0,3.0,Semi-Furnished,5,14,Yes,6.61,8,42518
P00248,Hyderabad,Gachibowli,Apartment,4,1701.0,2.0,Semi-Furnished,20,21,Yes,0.21,15,50723
P00249,Chennai,T Nagar,Villa,4,488.0,1.0,Unfurnished,10,24,Yes,9.88,13,18759
P00250,Chennai,Anna Nagar,Apartment,2,2019.0,1.0,Unfurnished,3,7,No,3.8,9,47451
P00251,Mumbai,Bandra,Villa,2,730.0,3.0,Unfurnished,0,20,Yes,4.51,6,39993
P00252,Pune,Wakad,Independent House,5,2262.0,2.0,Furnished,3,8,Yes,5.98,12,65896
P00253,Mumbai,Powai,Apartment,2,1584.0,3.0,Furnished,7,25,No,7.83,0,62451
P00254,Hyderabad,Gachibowli,Villa,5,2537.0,2.0,,12,17,Yes,7.88,7,67786
P00255,Mumbai,Andheri,Apartment,4,2882.0,1.0,Unfurnished,0,12,No,1.49,18,85742
P00256,Hyderabad,Gachibowli,Independent House,1,518.0,1.0,Furnished,8,15,Yes,9.24,12,19580
